OPERATION MORNING SUN OFFICIAL REFERENCE MATRIX  - 3. PROJECTS
Project,Owning Entity,Executing Entity ,Parent Initiative,terminal date ,description,Phase,Source of truth
ofl 3 album rollout and assets,Global State Corp. ,global state corp. Global State Productions,ofl 7 seals,2026-12-17,"Produces Romance Riot's album artwork and packaging, delivered ahead of release.",1,Global State Solutions drive
ofl 4 album roll out and assets,Global State Corp. ,global state corp. Global State Productions,ofl 7 seals,2027-01-25,Produces Painkillers' album artwork and packaging.,1,Global State Solutions drive
ofl 5 album roll out and assets,Global State Corp. ,global state corp. Global State Productions,ofl 7 seals,2027-05-09,Produces Coronation's album artwork and packaging.,1,Global State Solutions drive
ofl 6 album roll out and assets,Global State Corp. ,global state corp. Global State Productions,ofl 7 seals,2027-08-24,Produces Savior's album artwork and packaging.,1,Global State Solutions drive
ofl 7 album roll out and assets,Global State Corp. ,global state corp. Global State Productions,ofl 7 seals,2027-12-10,Produces Sacrifice's album artwork and packaging.,1,Global State Solutions drive
state of control ofl3,Global State Productions ,Global State Productions,state of control ,2026-12-17,"Produces the State of Control visual entry paired with Romance Riot's release, the ongoing video series running alongside the tape rollout.",1,youtube channel
state of control ofl4,Global State Productions ,Global State Productions,state of control ,2027-04-01,Produces the State of Control entry paired with Painkillers.,1,youtube channel
state of control ofl5,Global State Productions ,Global State Productions,state of control ,2027-07-16,Produces the State of Control entry paired with Coronation.,1,youtube channel
state of control ofl 6,Global State Productions ,Global State Productions,state of control ,2027-10-31,Produces the State of Control entry paired with Savior.,1,youtube channel
state of control ofl 7,Global State Productions ,Global State Productions,state of control ,2028-02-17,Produces the State of Control entry paired with Sacrifice.,1,youtube channel
the imaginary ceo season 1,Global State Productions ,Global State Productions,the imaginary ceo ,2027-06-16,Documents the Painkillers era after the tape has already shipped; the show's first season.,1,youtube channel
the imaginary ceo season 2,Global State Productions ,Global State Productions,the imaginary ceo ,2027-09-30,Documents the Coronation era after that tape has shipped.,1,youtube channel
the imaginary ceo season 3,Global State Productions ,Global State Productions,the imaginary ceo ,2028-01-14,Documents the Savior era after that tape has shipped.,1,youtube channel
the imaginary ceo season 4,Global State Productions ,Global State Productions,the imaginary ceo ,2028-05-02,Documents the Sacrifice era after that tape has shipped.,1,youtube channel
the jericho system ,Global State Systems ,Global State Systems ,The Jericho System ,2026-12-17,"Builds and launches Jericho's 1.0 application – the enterprise's own planning and execution engine – through MVP, patent security, and public launch.",1,"vs code, application store, website, google play app store"
Help Yourself Broadcast ,Global State Productions ,Global State Productions,Help Yourself Broadcast,on going ,"Produces and airs the first batch of Help Yourself Broadcast episodes, the recurring podcast's initial production cycle.",1,youtube channel
Desiree Business Plan ,Global State Productions ,Global State Productions,I AM THE STATE,2026-11-06,"Establishes Desiree's business plan ahead of its 2030 production start, distinct from Global State Productions' general identity.",1,Global State Solutions drive
F8 Energy GUM production,F8 Energy company,F8 Energy company,f8 energy gum,on going ,"Produces F8 Energy GUM's product and manages its operational chain from production through distribution, launching alongside Seeds of Destruction Entry 3 and Max Clout 3's climax.",2,company bank account
f8 energy operations,f8 energy company,F8 Energy company,F8 Energy – Production/Operations,on going ,"Manages F8 Energy's parent-level ongoing business operations, sustaining the company's infrastructure and capability as GUM and future product lines launch beneath it.",2,company bank account
the imaginary ceo season 5,Global State Productions ,Global State Productions,the imaginary ceo ,2028-11-01,Documents Seeds of Destruction Entry 1's era after that album has shipped.,2,youtube channel
the imaginary ceo season 6,Global State Productions ,Global State Productions,the imaginary ceo ,2029-05-02,Documents Seeds of Destruction Entry 2's era after that album has shipped.,2,youtube channel
the imaginary ceo season 7,Global State Productions ,Global State Productions,the imaginary ceo ,2029-11-01,Documents Seeds of Destruction Entry 3's era after that album has shipped.,2,youtube channel
Max Clout 1,Global State Productions ,Global State Productions,Seeds of Destruction ,2028-08-31,"Fictional short film scored to Seeds of Destruction Entry 1's music, produced concurrently with the album, premiering two weeks after its release.",2,youtube channel
Max clout 2,Global State Productions ,Global State Productions,Seeds of Destruction ,2029-03-03,"Fictional short film scored to Seeds of Destruction Entry 2's music, same concurrent-production pattern.",2,youtube channel
Max Clout 3,Global State Productions ,Global State Productions,Seeds of Destruction ,2029-08-31,"Fictional short film scored to Seeds of Destruction Entry 3's music, same concurrent-production pattern.",2,youtube channel
Seeds of destruction 1,Global State Corp. ,global state corp. ,Seeds of Destruction ,2028-08-17,"Produces the first Seeds of Destruction album (16 songs), fully dedicated production beginning after OFL's Terminal.",2,"spotify,apple music, youtube channel. "
Seeds of Destruction 2,Global State Corp. ,global state corp. ,Seeds of Destruction ,2029-02-17,Produces the second Seeds of Destruction album (16 songs).,2,"spotify,apple music, youtube channel. "
Seeds of destruction 3,Global State Corp. ,global state corp. ,Seeds of Destruction ,2029-08-17,Produces the third and final Seeds of Destruction album (16 songs).,2,"spotify,apple music, youtube channel. "
seeds of destruction 1 album rollout and assets,Global State Corp. ,global state corp. Global State Productions,Seeds of Destruction ,2028-08-10,Produces Entry 1's album artwork and packaging.,2,Global State Solutions drive
seeds of destruction 2 album rollout and assets,Global State Corp. ,global state corp. Global State Productions,Seeds of Destruction ,2029-02-10,Produces Entry 2's album artwork and packaging.,2,Global State Solutions drive
seeds of destruction 3 album rollout and assets,Global State Corp. ,global state corp. Global State Productions,Seeds of Destruction ,2029-08-10,Produces Entry 3's album artwork and packaging.,2,Global State Solutions drive
the imaginary ceo season 8,Global State Productions ,Global State Productions,the imaginary ceo ,2032-03-15,"Documents the lead-up to and closing of I Am The State, the enterprise's own terminal event; the show's series finale.",3,youtube channel
I AM THE STATE ,Global State Corp. ,global state corp. ,I AM THE STATE ,2031-12-31,"Produces the terminal album closing the enterprise's ten-year creative arc, running in parallel with Desiree.",3,"spotify,apple music, youtube channel. "
I AM THE STATE album rollout and assets ,Global State Corp. ,global state corp. Global State Productions,I AM THE STATE ,2031-12-24,Produces the terminal album's artwork and packaging.,3,Global State Solutions drive
Desiree,Global State Productions ,Global State Productions,I AM THE STATE ,2031-12-31,"Produces the Desiree feature film, running in parallel with the I Am The State album, closing the enterprise's terminal creative arc.",3,youtube channel
79th Street Renovation Production,global state holdings ,global state holdings,79 street renovation,on going ,"Acquires, restores, and sustains 79th Street as an urban redevelopment initiative – institutional infrastructure supporting HQ and Academy operations indefinitely, not a single building acquisition with an end point. Launch milestone: 2028-06-30.",3,company bank account
First Academy Building Production ,global state academy ,global state academy/ global state holdings ,First Academy Building ,on going ,"Opens and permanently operates the Academy's first physical school location; as the first, it never needs a successor lane – production folds directly into ongoing operations at launch rather than spinning off a separate lane. Launch milestone: 2028-09-01.",3,company bank account
Marketing Flywheel – Business Plan,Global State Solutions,Global State Solutions,Marketing Flywheel Foundation ,2026-09-18,Establishes the flywheel's business plan and identity as GSS's first owned product function.,1,Global State Solutions drive
Marketing Flywheel – Capture Layer Build,Global State Solutions,Global State Systems,Marketing Flywheel – Audience Capture,2026-09-30,"Builds the capture mechanism across pre-save, platform-follow, and app-signup channels, live ahead of Romance Riot's rollout.",1,"spotify,apple music, youtube channel, and social media platforms"
